title,description,full-description,aow,riasec,category,image,new
Automated transit system troubleshooter,Automated transit system troubleshooters will address potential problems that occur in a transit system almost entirely comprised of autonomous self driving vehicles.,"These days, most of the vehicles on the roads drive themselves. The passengers in those cars get on with work, leisure activities, or even sleep while the car takes them where they need to go. These autonomous cars have many sensors on them, and they are networked together. They communicate with one another about their position, speed, the traffic conditions, hazards, and other environmental conditions. Traffic lights don’t exist anymore, as an automated transit management system ensures that everything runs smoothly and efficiently. The transit management system also makes sure that accidents don’t happen and everyone stays safe.
However, occasionally things go wrong that the automated systems can’t correct. Robots can easily deal with a single autonomous car breakdown — within two minutes they clear the car off the road and bring a replacement vehicle for the passengers. But they have more trouble dealing with the occasional human-driven old car, who may break the road rules and behave erratically. Sometimes hackers will break into a traffic management system and cause chaos. Very occasionally, an extreme weather event that wasn’t anticipated by the climate modifiers can bring everything to a standstill.
When things go wrong with the transit management system, the Automated Transit System Troubleshooter steps in.
They use monitoring systems and sensors to tell them what has gone wrong, and make rapid decisions about the best way to fix the problem. They may use digital algorithms to help them predict the consequences of different courses of action, and robotic or human workers to clear obstacles to traffic flow and get cars moving again.
They may also draw upon the expertise of an ethical hacker or cybersecurity personnel to repair the systems damage caused by malicious attacks.
Automated Transit System Troubleshooters will be decisive and quick thinking. They will be able to make sense of multiple sources of data in order to inform decisions. They will be effective risk managers, and competent using digital technologies. They will be clear communicators. They have strong disciplinary knowledge of traffic engineering and transport systems.","AOW11, AOW14, AOW16, AOW17, AOW18","C, I, E",urban,,new
Automation anomaly analyst,"Automation anomaly analysts will help others to understand, improve, and refine solutions generated by AI.","Sometimes, artificial intelligence will come up with a solution or recommendation that seems counter-intuitive, wrong, unethical, or just plain weird. In those circumstances, people will contact an Automation Anomaly Analyst for help and advice.
Automation Anomaly Analysts specialise in tweaking algorithms to make them better suit people’s needs, and ‘winding back’ the data inputs that have led to the strange result.
Automation Anomaly Analysts commence by understanding the client’s experience of the anomaly, and then act quickly to restore normal function.
In some instances, the anomalous result may turn out to be a new and useful solution, in which case the Automation Anomaly Analyst may not make any changes at all. In other instances, they may need to reboot systems entirely and start from scratch.
Automation Anomaly Analysts will be fast-thinking and fast-acting. They will have intimate knowledge of AI algorithms, and have up-to-the-minute knowledge of the latest trends in this area. They will be expert coders, and also good data processors.
Automation Anomaly Analysts will often be freelance or work in small to medium enterprises - these Automation Anomaly Analysts will need to be enterprising and entrepreneurial, with the aim of being the person that is top of mind to contact when a strange result happens.
Some big corporations and government agencies may have their own Automation Anomaly Analyst team.","AOW17, AOW18","C, I, E",tech,,new
Autonomous vehicle profile designer,Autonomous vehicle profile designers will custom design vehicles to suit the individual needs and tastes of the vehicle owner.,"In the future, driving will be optional as autonomous vehicles become more affordable and varied, leading to extended choice in forms of mobility.
As a result, the car as a transit experience will be redesigned. The basic car unit will be made up of a chassis with an electric drive-train and autonomous driving electronics.
An Autonomous Vehicle Profile Designer designs the cabin that will fit on top of the basic car unit. Each cabin will need to transform into multiple possible configurations, including bedroom, dining room, conference room, playroom, and gym (amongst others).
The Autonomous Vehicle Profile Designer will also ‘skin’ the inside and outside of cars — that is, uses augmented reality overlays to make the car’s look and feel reflect the personality and visual preferences of their owners. A car’s skin will become an extension of its owner’s personal avatar.
Autonomous Vehicle Profile Designer will have a background in interior and industrial design, and possess excellent creative and visual artistic skills. They will have knowledge of the properties of new materials that are being produced, such as transparent aluminium. They will be experienced in computer-aided design and the use of augmented reality engines.","AOW11, AOW16, AOW17, AOW19","A, I",urban,AutoVehicleDesigner.jpg,new
Behaviour prediction analyst,Behaviour prediction analysts will predict human and system behaviour based on data and algorithms.,"Our online presence is constantly increasing, signalling our tastes and preferences for clothing, music and entertainment, hobbies etc.
Similarly, patterns of behaviour of communities are able to be tracked through the increasing amount of data that is collected, stored and analysed. Algorithms are being invented to make sense of patterns in this data.
A Behaviour Prediction Analyst is a data scientist trained in the development of algorithms that can take big data sets to creatively project future patterns of behaviour across a variety of uses. These might include the personalised marketing of products, crime prediction, insurance company decisions, town planning, or government decision making.
A Behaviour Prediction Analyst will need skills in data mining and analysis, implying a logical problem-solving disposition. They will need critical and creative thinking skills, to identify unexpected patterns, but also strong human skills to be able to think through the way people behave so as to make sense of their patterns of activity and what these say about their individual and communal needs.","AOW2, AOW7, AOW17, AOW18","I, C",data,,new
Biofilm plumber,Biofilm plumbers will install and maintain coatings of biofilm onto the walls of sewerage and wastewater pipes and liquid composting bins.,"Biofilm Plumbers install and maintain coatings of biofilm onto the walls of sewerage and wastewater pipes and liquid composting bins.
These biofilms are made of millions of friendly bacteria that then break down complex organic matter (waste) of various types.
The bacteria are embedded into a sticky layer of extracellular polymeric substance, which binds to the wall of the pipe.
Just as it’s beneficial to have the right balance of bacteria in your gut, so, too, it’s important to have the right bacteria breaking down your waste.
Using digital bacterial analysis tools, Biofilm Plumbers diagnose problems with biofilm and rebalance bacteria if the waste breakdown isn’t working properly.
Biofilm Plumbers will be good at working with their hands. They will be good at problem-solving, and have an understanding of bacterial biology. They will be able to read and interpret schematics and plans. They may work as freelancers, or in teams of human habitat workers. As with plumbers in previous eras, they will sometimes need to work in dirty or smelly conditions.","AOW1, AOW10, AOW14","R, C",urban,,new
Bio-jacker,"Bio-jackers will be genetic engineers, undertaking precision genome editing of plants and animals, including humans.","Bio-jackers are genetic engineers who undertake precision genome editing of plants and animals, including humans.
Depending on their specialist area of expertise, plant Bio-jackers may manipulate the growth patterns and appearance of plants, along with the nutrition profiles of fruit and vegetables.
Human Bio-jackers alter the genetic make- up of people, in order to fix gene patterns that cause disorders and illnesses, and in some instances to change their appearance and/or physical abilities. This is a tightly regulated area, and the work of Bio-jackers must be thoroughly checked and certified for their potential impact to genetic diversity and the health of the host.
Bio-jackers undertake complex genetic analyses to identify potential genetic modifications that can fix potential problems or meet other needs, and then undertake genome editing using plasmids to transfect the target cells.
Bio-jackers will need in-depth knowledge of genetics, the processes of genetic engineering and genome editing, and what the results of these procedures are likely to be. Bio-jackers will work in teams and will need to be able to collaborate with others, such as genetic coaches and healthcare workers. They will also need training in advanced bioethics and genetic diversity practice.","AOW3, AOW9, AOW10, AOW17","I, C",ag,,new
Biometric security solutions engineer,"Biometric security solutions engineers will create individualised biometric signatures to use when accessing digital and physical access points, replacing online passwords and physical keys.","The days of losing your keys, forgetting your multiple passwords and having your identity stolen are in the past.
A Biometric Security Solutions Engineer creates individualised biometric signatures to use across all physical and digital secure access points, such as online banking and home, office or car access.
Biometrics measure physical and behavioural attributes such as fingerprints, iris and retina images, face and hand scans, voice recognition, and habitual patterns of behaviour.
Identity theft will no longer be possible as access systems will require multiple, randomly designated biometric measurements to confirm identification.
The Biometric Security Solutions Engineer determines which sensors are appropriate for the security solution, then applies software solutions to analyse and match the authentication factors. Biometrics security integrates with the overall security systems of a building or virtual system.
Biometric Security Solutions Engineers will be comfortable working with both software and hardware, and will understand the use of biometrics to develop unique identification solutions. They will be practical and enjoy gadgetry and electronics. They will also understand systems and be able to communicate well with colleagues in other security fields to ensure that biometrics take up their place in a suite of security measures.","AOW14, AOW18","R, C, I",urban,,
Biomimicry innovator,Biomimicry innovators will seek sustainable solutions to human challenges by emulating nature's engineering processes. ,"The Biomimicry Innovator seeks sustainable solutions to human challenges by emulating nature’s engineering processes. For instance, researchers are modelling energy-saving climate control systems on gas exchange mechanisms in termite mounds, or efficient and painless needles based on mosquito mouthparts.
The Biomimicry Innovator will be committed to sustainable innovation that is grounded in biological research, where they seek to understand the engineering complexities of plants, animal and microbe specialties. Transport strategies and materials properties are two further areas where diverse insect adaptations provide blueprints for innovations.
The role extends past research as they work to apply this knowledge to create products and processes that tackle global issues such as waste management, energy efficiency and agricultural solutions that mimic how ecosystems survive.
Biomimicry innovators will have advanced skills in biological science and will be driven by a curiosity of the natural world. They will have practical understandings from many engineering fields as they transform and problem solve. They will harness their research data to bring creative ideas to interdisciplinary teams. Good communication skills will enable them to communicate their research-inspired ideas with other collaborators as they work towards innovative solutions.",AOW12,"I, E, A",tech,,new
Bioprinting engineer,"Bioprinting engineers will create viable tissue for human implants, using hardware and software associated with next generation 3D printers.","3D printing will have an increasing range of applications in the future, including printing organic materials.
One possibility is synthetic meat, to respond to concerns about the climate and ethical ramifications of meat production.
Another is 3D printing of tissue such as cartilage, bone or muscle, or potentially internal organs, for tailored human implants.
Research on such implants is moving at a fast pace.
A Bioprinting Engineer will create viable tissue for human implants, using hardware and software associated with next generation 3D printers.
A Bioprinting Engineer will have strong engineering skills and STEM knowledge and will work in teams with biologists, medical specialists and software designers. They will have design skills and well-developed communication and interpersonal skills for effective teamwork.","AOW3, AOW8, AOW19","I, C, S",tech,,
Blockchain talent analyst,Blockchain talent analysts will work with employers to figure out what kind of person they want for a role and find the right person for the job using talent analytics algorithms.,"In the future, job recruitment will be managed by Blockchain Talent Analysts who work with blockchain — that is, verified and distributed measures of talent and hireability, including cognitive ability - to support recruitment. Data from online and networked behaviour, evidence of previous work and sensor-based data will provide a wealth of information about habits, preferences, skills and interests of potential employees. Blockchain can bring all these together to compile a comprehensive digital dossier about a person’s hiring potential.
Similarly, information asymmetries will be reduced and time-consuming tasks such as navigating the internet for jobs, filling in forms and transferring CVs to online templates will become a thing of the past. Instead, with your digital CV verified and cemented into blockchain, it will be available for those hiring, thus enabling employers to find the best employee match more easily. The personal brand manager and content creator will be involved in managing an individual’s data set.
The Blockchain Talent Analyst will work with employers to figure out what kind of person they want for a role (doing analysis of the employer’s capability and attributes profile using AI tools), and will then use talent analytics algorithms and ‘search bots’ to find the right person for a job. Interviews will no longer be required as the evidence to make accurate decisions will be collated through the Blockchain Talent Analyst.
The Blockchain Talent Analyst will have high level skills in analysing and interpreting algorithms, and interpersonal skills in communicating with clients and understanding the basis of their needs. They will have advanced understanding of ethical implications of data mining and personal privacy standards.","AOW6, AOW12, AOW18","I, S",buslaw,,
Chief digital augmentation officer,Chief digital augmentation officers will select the AI technology and other technological solutions (such as robotics and augmentations) for organisations.,"The Chief Digital Augmentation Officer, a high level strategic role in most corporations, is responsible for choosing the right AI technology and other technological solutions (such as robots) for tasks within the organisation.
They also design work processes where humans and machines can work together to complement each other. They provide employees with the right augmentation options and negotiate training and time to transition to them to full capacity.
In addition, as more humans seek implants and body/brain modifications that increase their capabilities as cyborgs, the Chief Digital Augmentation Officer will oversee the different management, working conditions and workplace rights that they will need.
The Chief Digital Augmentation Officer will have strong management and strategic skills and can inspire people. They will also understand anatomical and mechanical systems, ensuring that physical capabilities are enhanced responsibly and for maximum productivity.","AOW12, AOW16, AOW17","E, I",tech,,new
Chief ethics officer,Chief ethics officers will ensure that companies follow ethical and socially responsible policies and practices.,"Chief Ethics Officers work in large companies and government organisations.
Their role is to ensure that corporate social responsibility is considered in all of the company’s activities, and that the company is genuinely ethical in its practices.
The Chief Ethics Officer oversees the company’s adherence to zero waste policies, and its energy consumption and production targets. They make sure that the company is being socially inclusive, and its products and services are good for consumers.
It is widely recognised how expensive unethical behaviour can be (such as how much money is lost through not recycling or upcycling waste materials). Companies are committed to being as ethical as they can.
Chief Ethics Officer will also lead departments of staff and artificial intelligence units that are devoted to virtual ethics - such as making sure that unwanted social biases aren’t creeping into algorithms, and that people’s data is kept private.
Chief Ethics Officers keep up to date on the latest in robot and AI ethics. They have strong knowledge of the law, and professional/cultural codes of ethics related to their industry. They possess skills in critical thinking and problem-solving, and also management of information. Chief Ethics Officers lead teams, so they require people management and corporate leadership skills. They are good negotiators and mediators.",AOW12,"I, S",buslaw,EthicsOfficer.jpg,
Child assistant bot programmer,"Child assistant bot programmers will design humanoid robots to provide children with education, supervision, and play.","Living in a digital age has certain benefits.
One such benefit is that children’s games and toys can be programmed for specific purposes.
A Child Assistant Bot Programmer designs humanoid robots (kiddobots) that will support children to play safely. These bots can be personalised and programmed to align with family preferences, values and rules. They read nursery rhymes, personalise stories, teach basic numeracy and language skills, develop general knowledge, support the learning of spatial skills, and use coding games to develop digital literacies.
The bots are also used as tools to supervise and manage children’s free time, ensuring that they are physically safe and that they are safe in their online explorations too.
Children now only attend childhood education centres with their kiddobot (upgraded to match the centre’s overall system) to keep them safe, guide their interactions, and provide a platform for their education.
The Child Assistant Bot Programmer will have knowledge of AI programming and humanoid robot mechanics. They will also understand early childhood and child development as well as learning theories and practices. The programmers may work in teams with robot designers and program developers to ensure the flexibility in programs to include personalised family personalities and needs as well as to integrate with early childhood centres’ systems.","AOW16, AOW17","I, C",tech,,new
Community farm finance broker,Community farm finance brokers will connect farmers with individuals seeking to invest in their own food production.,"Many farms have moved to crowd funded production. As a key part of the wider ‘sharing economy’, this broker of financial support will link farmers with individuals/families prepared to invest in their own food production.
The farmer will continue to manage their farm and produce food, while the financiers will receive either produce or money for their investment.
Typically, the local agroecological vegetable farm, cricket farm or aquaponic fish farm will be mostly owned by local residents and community organisations. The net effect of this is that everyone will be involved and interested in their food production processes, and food security will be strengthened.
The Community Farm Finance Broker will be good with numbers but also good at marketing ethical opportunities and motivating people to make community minded choices. They will have a good understanding about agroecological farming practices and about the difficult choices that sometimes need to be made. They will be high-level communicators and convincing in promoting a point of view and in persuasive discussion.","AOW1, AOW3, AOW12","E, I, S",buslaw,,new
Community support worker,Community support workers will ensure the well-being of people engaging in communal living.,"Most people now live in small, close-knit communities within huge, sprawling metropolises.
Each community has at least one or two Community Support Workers, who work with the Local Community Co-ordinator to bring people together and ensure their well-being.
Community Support Workers work closely with people who need extra social support, such as the recently bereaved, people who are unwell, and people who have just moved into the community. The client gives them permission to monitor the sensors in their home and in their bodies, so that they can provide personalised support when it’s needed most.
Community Support Workers connect people with others in the community, and also connect them with targeted psychological support, healthcare, and social integration services.
Community Support Workers will be highly empathic people with strong social skills. They will be excellent listeners. They will have educational backgrounds in psychology and/or social work, and depending on their areas of specialisation, may also have postgraduate qualifications in working with older people, migrants, disabled people, or children. Community support workers will be well networked, and have in-depth knowledge of the support services available to their clients.","AOW1, AOW8",S,people,,
Cricket farmer,"Cricket farmers will monitor, maintain and breed crickets for healthy, high-protein food production.","People will turn towards more efficient protein sources.
Cricket farming will be an urban agriculture practice that produces large quantities of high-quality protein, micronutrients, calcium, zinc and heme iron (considered superior to plant-based iron).
Crickets consume plant products and produce very little waste making them an efficient energy source.
Vertical systems that require very little space where crickets thrive in optimal conditions will be designed. Robots and intelligent systems will monitor each cricket module, maintaining optimum growing conditions, monitoring inputs and growth rates.
Crickets will be turned into high protein flour for bread products and protein bars or deep fried to produce crispy snacks.
A Cricket farmer will use a variety of technologies and have a high level of digital literacy. They will use robots to monitor the crickets, and be able to maintain the machines and programs. They will manage the cricket selective breeding program where they design a range of cricket varieties to match different market needs. They will design and test cricket products to fill an increasing variety of product niches. Cricket farmers will be good collaborators and skilled communicators as they will be a key player in the food production industry.","AOW3, AOW16","R, C",ag,,
Cross-cultural capability facilitators,Cross-cultural capability facilitators will work with people in cross-cultural contexts to facilitate negotiations and projects.,"In the future, the importance and value of human diversity will be recognised, particularly the understanding that cultural groups have different and equally valid beliefs, needs, preferences, and ways of communicating.
Cross-cultural Capability Facilitators will be experts who have deep responsiveness towards, and respect for, people from diverse cultures and backgrounds. They will work directly with people in cross-cultural contexts to facilitate negotiations or projects. Many will also work with software programmers, robot designers and augmented/virtual reality experience creators so as to match the experiences they are creating with user needs and expectations, given their cultural backgrounds.
Cross-cultural Capability Facilitators will have strong knowledge of, and commitment to, principles of diversity and inclusion, international mobility, conflict resolution, and cultural sensitivity. They will likely to have spent significant time within a range of cultures learning their mores and dispositions. They may speak several languages, although real-time digital translation will reduce this requirement somewhat. They will be good listeners, be empathic and diplomatic. Depending on their work specialisation, they may also need to be competent programmers, robot builders, or augmented/virtual reality designers, or at least be comfortable working with people in these roles to build culturally sensitive digital experiences.",AOW1,S,people,,
Cyborg psychologist,"Cyborg psychologists will work with people who have synthetic organs, robotic limbs, and body implants, to help them come to terms with living as cyborgs.","A Cyborg Psychologist will work with people who have synthetic organs, robotic limbs, and body implants, to help them come to terms living as cyborgs.
They will also help clients who are suffering from digital addictions and compulsions, or those who have been having trouble distinguishing between the physical and the virtual world.
Technological advances mean that nearly all people will have some level of technological enhancement. Virtual and augmented reality will be part of everyday life for millions. But some people may struggle with various aspects of their digitally enabled life so Cyborg Psychologists will be there to help them.
Given the challenges that their clients will be facing, they may use AR and VR-based interventions, or they may prefer to use traditional techniques that involve talking directly with clients, and supporting them in challenging situations.
Cyborg Psychologists will need to relate to and empathise with a wide range of people. They will need to have excellent listening and oral communication skills, and the ability to cope with emotionally demanding situations. Cyborg psychologists will have in-depth knowledge of the impact of digital technologies on human psychological health and well-being, and of therapeutic techniques to address these.","AOW8, AOW14, AOW15, AOW16","S, I",people,CyborgPsychologist.jpg,
Data commodities broker,"Data commodities brokers will sell collected data on behalf of people, communities and corporations, feeding the data into machine learning algorithms.","Data is very valuable. In the future it is used to inform every sphere of human activity, including marketing, development of products and services, healthcare, and government services.
Data commodities brokers sell collected data on behalf of people, communities and corporations, that will then be fed into machine learning algorithms for different purposes. I
In historical times, people gave away their data for free. The data that was captured through their online behaviour (e.g., web sites that they visited, interactions with other people) was taken and used for sales and marketing of products back to those people.
These days, data is sold to different agencies. People can decide which types of agency their data will be sold to, what it will be used for, and for how much money they are prepared to sell it. For instance, a community area contains environmental sensors that pick up information about its residents, the environment, energy use, and patterns of consumption. The community employs a data commodities broker to negotiate the sale of this data. Data Commodities Brokers will have a background in sales or commerce, with specific interests in financial and data management. They will have strong maths, logic and problem-solving skills, and have data-based research capabilities to understand the market demand for a particular type of data. They will work with algorithmic software to undertake projections. They will have solid negotiating skills, and an understanding of data law.","AOW2, AOW18","E, I, C",data,,new
Data farmer,Data farmers will create and manage semi-autonomous algorithms that will identify and trace connections between otherwise unrelated sets of data.,"Reminiscent of the gold farmers of early online games and the bitcoin miners of the early 21st century, these bulk data analysts called Data Farmers create and wrangle semi-autonomous algorithms that identify and trace connections between otherwise unrelated sets of data.
Part accountant, part detective, part service worker, Data Farmers ‘milk’ their algorithms regularly to extract meaningful extrapolations from stochastic data comparisons. They then pass what they’ve learned on to businesses, community co-ordinators, and government agencies to predict trends that can be used for new products and services, regulation of commerce, and community/environmental strategies.
Data Farmers will have good programming and algorithmic design skills. They will be creative and have cognitive flexibility to combine or group data in different ways, and to identify the connections between them. They will be good problem-solvers and have excellent analytical skills. Many Data Farmers working in industry will need to be quite entrepreneurial, as they will often be freelance, or employed by small to medium enterprises. They will need to pitch to businesses and sell the meaningful connections and predictions that they’ve identified.","AOW12, AOW17, AOW18","I, C, E",data,,new
Data privacy strategist,Data privacy strategists will be responsible for designing solutions to protect people's data.,"A Data Privacy Strategist will be responsible for designing solutions to protect people’s data.
In the future, data privacy will be harder than ever to safeguard, because everyone will be always ‘plugged in’ to networks through the digital implants in their bodies that ensure their health and enhance their lifestyles.
Hacking will be a major problem, personal data can be taken hostage for ransom, and identity theft can have serious repercussions.
Data Privacy Strategists set up systems and software to reduce the risk of hacking. If a system is hacked, they may work to repair it, recover data, and minimise the impact on people’s lives.
Data Privacy Strategists have strong analytical skills, and will be detail-oriented. They have high levels of digital literacy, and knowledge of the latest trends in cybersecurity. They have coding skills, and understand systems architecture, firewalls, networking and operating systems.",AOW18,"I, C",data,,
